date,Gb(i),Gd(i),H_sun,T2m,WS10m,Wdir,Humidity,Pressure
2/6/2018,3721.9700000000003,2511.17,38.236,21.012,2.9466666666666668,94.66666666666667,67.6,1017.7933333333333
3/6/2018,1858.1100000000001,2691.63,38.32533333333333,20.832,2.8186666666666667,155.33333333333334,70.06666666666666,1015.4666666666667
4/6/2018,2502.72,2124.27,38.41,20.266666666666666,3.021333333333333,206.0,66.33333333333333,1010.88
5/6/2018,4289.4,2140.56,38.49133333333334,21.146666666666665,3.366,133.33333333333334,65.13333333333334,1010.76
6/6/2018,4355.93,1810.02,38.56733333333333,20.97533333333333,2.952,100.66666666666667,59.86666666666667,1013.64
7/6/2018,1008.17,2594.4700000000003,38.638000000000005,19.481333333333335,2.804666666666667,207.33333333333334,79.93333333333334,1015.5466666666667
8/6/2018,4948.43,1661.96,38.70333333333333,21.205333333333332,3.375333333333333,164.0,63.4,1013.0666666666667
9/6/2018,5186.28,1666.95,38.76533333333334,21.753333333333334,3.7146666666666666,152.0,61.46666666666667,1013.1266666666667
10/6/2018,3892.85,2101.38,38.822,22.430666666666664,4.236,105.33333333333333,45.86666666666667,1012.4133333333334
11/6/2018,2759.48,2016.19,38.873333333333335,22.08533333333333,6.243333333333334,235.33333333333334,64.2,1009.6066666666667
12/6/2018,4912.34,1805.17,38.92066666666667,21.267333333333333,3.9393333333333334,319.3333333333333,61.2,1008.92
13/6/2018,3121.57,2496.79,38.96266666666667,21.264,11.052,243.33333333333334,58.333333333333336,1007.4599999999999
14/6/2018,5475.5,1496.2,39.0,21.580666666666666,7.513333333333334,222.66666666666666,43.2,1009.9533333333333
15/6/2018,2118.39,2948.94,39.032000000000004,22.236666666666668,4.28,204.66666666666666,44.46666666666667,1011.4133333333334
16/6/2018,5052.22,1598.54,39.058,22.676666666666666,2.7633333333333336,295.3333333333333,46.93333333333333,1012.5133333333334
17/6/2018,4824.52,1945.3500000000001,39.082,23.194,7.775333333333333,213.33333333333334,45.0,1015.3066666666667
18/6/2018,5099.09,1601.57,39.09866666666667,23.02,6.5840000000000005,211.33333333333334,42.0,1017.0333333333333
19/6/2018,4920.46,1531.77,39.11066666666667,23.496666666666666,2.219333333333333,134.0,45.13333333333333,1018.6333333333333
20/6/2018,4519.0,1799.77,39.11933333333333,24.018666666666665,2.452,286.6666666666667,43.8,1018.7133333333334
21/6/2018,5191.54,1486.47,39.12266666666667,24.236,4.275333333333333,320.6666666666667,47.2,1015.8133333333334
22/6/2018,5975.31,1425.6399999999999,39.12,23.08533333333333,10.440666666666667,188.66666666666666,40.266666666666666,1013.4599999999999
23/6/2018,4021.9,1782.97,39.11266666666666,22.45266666666667,3.07,92.66666666666667,45.53333333333333,1017.5066666666667
24/6/2018,3109.55,2657.24,39.102,22.212666666666667,2.1513333333333335,155.33333333333334,47.6,1015.8
25/6/2018,5483.82,1510.35,39.08533333333333,23.09,3.3093333333333335,198.0,43.666666666666664,1014.98
26/6/2018,4969.81,1663.38,39.06333333333334,23.27466666666667,2.9113333333333333,255.33333333333334,43.8,1017.5533333333333
